College Name,Sentiment Score,College Score
Kumaraguru College of Technology - [KCT],0.9969,99.845
Prestige Institute of Engineering Management and Research - [PIEMR],0.9943,99.715
PBR Visvodaya Institute of Technology and Science [PBR VITS],0.9941,99.705
Nalla Malla Reddy Engineering College - [NMREC],0.9939,99.695
Karpagam Academy of Higher Education - [KAHE],0.9935,99.675
Dhole Patil College of Engineering - [DPCOE],0.993,99.64999999999999
Aravali College of Engineering and Management - [ACEM],0.9923,99.615
Institute of Engineering & Technology - GLA University,0.992,99.6
Govind Ballabh Pant University of Agriculture and Technology,0.9919,99.595
Gandhi Institute for Technology - [GIFT],0.9915,99.575
Mohamed Sathak AJ College of Engineering - [MSAJCE],0.9912,99.56
Government College of Engineering - [GCOEA],0.9912,99.56
Siddhartha Institute of Science & Technology - [SISTK],0.9905,99.52499999999999
Buddha Institute of Technology- [BIT],0.9902500000000001,99.5125
Muzaffarpur Institute of Technology - [MIT],0.98965,99.4825
Delhi University - [DU],0.9893,99.465
Malla Reddy Institute of Engineering and Technology- [MRIET],0.9889,99.44500000000001
IIT Goa - Indian Institute of Technology - [IITG],0.9881,99.405
Shri Vishnu Engineering College for Women - [SVECW],0.9881,99.405
Roever Engineering College-[REC],0.9873,99.365
Teerthanker Mahaveer University - [TMU],0.9867,99.335
Saharsa College of Engineering - [SCE],0.9864,99.32000000000001
Govind Ballabh Pant Engineering College - [GBPEC],0.9863,99.315
Aligarh Muslim University - [AMU],0.9863,99.315
Sat Kabir Institute of Technology and Management - [SKITM],0.9859,99.295
Meerut Institute of Technology - [MIT],0.9859,99.295
Dr. N.G.P. Arts and Science College - [DrNGPASC],0.9858,99.29
Shri Ram Group of Colleges - [SRGC],0.9855,99.275
Karaikudi Institute of Technology and Management - [KIT & KIM],0.9855,99.275
Marathwada Institute of Technology - [MIT],0.9853,99.265
Narsimha Reddy Engineering College - [NRCM],0.98525,99.2625
Indian Institute of Information Technology Sri City - [IIIT],0.9846,99.22999999999999
Keshav Memorial Institute of Technology - [KMIT],0.9843,99.215
Sai Vidya Institute of Technology - [SVIT],0.9836,99.18
G D Goenka University - [GDGU],0.98305,99.1525
BP Poddar Institute of Management and Technology,0.9829,99.145
"University of Kerala, University College Of Engineering Kariavattom",0.9828,99.14
"University College of Engineering Panruti, Anna University - [UCEP]",0.9823,99.115
East Point Group of Institutions - [EPGI],0.9822,99.11
Rajiv Gandhi University of Knowledge Technologies Basar- [RGUKT],0.9821,99.105
BK Birla Institute of Engineering and Technology [BKBIET],0.9821,99.105
Don Bosco Institute of Technology - [DBIT],0.9819,99.095
Starex University,0.9818,99.09
Rewa Engineering College - [REC],0.9817,99.08500000000001
Sree Chaitanya College of Engineering - [SCCE],0.9815,99.075
Anand International College of Engineering,0.9813,99.065
Sanjivani College of Engineering Kopargaon,0.9813,99.065
Government College of Engineering - [GCOE],0.981,99.05
Vivekananda Institute of Technology,0.981,99.05
Bipin Tripathi  Kumaon Institute of Technology,0.9805,99.025
Agra College,0.9799,98.995
International Institute of Information Technology - [IIIT] Naya Raipur,0.9799,98.995
Rustamji Institute of Technology - [RJIT],0.9796,98.98
Shantilal Shah Engineering College - [SSEC],0.979,98.95
Pune Vidyarthi Griha's College of Engineering & S.S. Dhamankar Institute of Management,0.979,98.95
Mohan Babu University - [MBU],0.979,98.95
Baba Farid College of Engineering and Technology - [BFCET],0.9788,98.94000000000001
C Abdul Hakeem College of Engineering and Technology - [CAHCET],0.9785,98.925
Adichunchanagiri University - [ACU],0.9785,98.925
Lakshmi Narain College of Technology Excellence - [LNCTE],0.9784,98.92
Global Academy of Technology - [GAT],0.9782500000000001,98.91250000000001
IES University,0.9782,98.91
UV Patel College of Engineering - [UVPCE],0.978,98.9
Global Institute of Technology and Management - [GITM],0.978,98.9
Neotia Institute of Technology Management and Science - [NITMAS],0.9775,98.875
CMR University - [CMRU],0.9774,98.87
Anna University - [AU],0.9774,98.87
Madha Engineering College,0.97725,98.8625
Saveetha Engineering College - [SEC],0.977,98.85
KJ Institute of Engineering and Technology - [KJIT],0.9769,98.845
Federal Institute of Science and Technology - [FISAT],0.9768,98.83999999999999
Manav Rachna International Institute of Research and Studies - [MRIIRS],0.9768,98.83999999999999
Sri Ramanujar Engineering College - [SREC],0.97655,98.8275
Maharshi Dayanand University - [MDU],0.9761,98.80499999999999
Arifa Institute of Technology - [AIT],0.9755,98.775
Vidya Academy of Science and Technology - [VAST],0.97505,98.7525
Ballari Institute of Technology and Management - [BITM],0.975,98.75
IIT Roorkee - Indian Institute of Technology - [IITR],0.9749000000000001,98.745
Indraprastha Institute of Technology and Management - [IITM],0.9744333333333333,98.72166666666666
Sahyadri College of Engineering & Management (SCEM),0.9741,98.705
Mahendra Institute of Technology - [MIT],0.974,98.7
NPR College of Engineering and Technology,0.9738,98.69
Nowgong Engineering College,0.97375,98.6875
Aryabhatta Knowledge University - [AKU],0.9736,98.68
KDK College of Engineering,0.9735,98.675
Parala Maharaja Engineering College - [PMEC],0.9734,98.67
Sardar Patel Institute of Technology - [SPIT],0.9729,98.64500000000001
Christ University,0.9727,98.635
Mar Baselios College of Engineering and Technology - [MBCET] Nalanchira,0.97235,98.6175
Hyderabad Institute of Technology and Management - [HITAM],0.9723,98.61500000000001
VSB Engineering College - [VSBEC],0.9721,98.605
Adithya Institute of Technology - [AIT],0.972,98.6
John Bosco Engineering College - [JBEC],0.9719,98.595
CMR Institute of Technology - [CMRIT],0.9718,98.59
KIIT School of Biotechnology - [KSBT],0.97145,98.57249999999999
P.B. College of Engineering - [PBCE],0.9709,98.54499999999999
St Joseph Engineering College - [SJEC],0.9709,98.54499999999999
Maharana Pratap Engineering College - [MPEC],0.9705,98.52499999999999
Guru Nanak Dev University Regional Campus - [GNDU],0.9698,98.49
