College Name,Weighted Score
"University College of Engineering Panruti, Anna University - [UCEP]",99.3805
John Bosco Engineering College - [JBEC],99.0165
Sphoorthy Engineering College - [SPHN],98.87299999999999
KS Rangasamy College of Technology,98.859
Adichunchanagiri Institute of Technology- [AIT],98.726
Delhi University - [DU],98.7255
Geethanjali College of Engineering and Technology - [GCET] Keesara,98.71199999999999
Government Engineering College - [GECI],98.698
Guru Nanak College of Engineering & Management - [GNCEM],98.69449999999999
C Abdul Hakeem College of Engineering and Technology - [CAHCET],98.64749999999998
Jaipur National University - [JNU],98.642
Anand International College of Engineering,98.44549999999998
Nalla Malla Reddy Engineering College - [NMREC],98.28649999999999
Malla Reddy Engineering College for Women - [MRECW],98.2255
Aryabhatta Knowledge University - [AKU],98.17599999999999
Hyderabad Institute of Technology and Management - [HITAM],98.1305
Shri Vishnu Engineering College for Women - [SVECW],98.0835
Saveetha School of Engineering - [SSE],97.95899999999999
Ramkrishna Mahato Government Engineering College,97.92749999999998
Don Bosco Institute of Technology - [DBIT],97.86649999999999
Kumaraguru College of Technology - [KCT],97.79149999999998
Madha Engineering College,97.70375
Maharshi Dayanand University - [MDU],97.66349999999998
Charotar University of Science and Technology - [CHARUSAT],97.65474999999999
SNJB's College of Engineering Chandwad,97.64399999999999
P.S.G College of Technology - [PSGCT],97.636
Nowgong Engineering College,97.58125
St Joseph Engineering College - [SJEC],97.48149999999998
Dhaanish Ahmed College of Engineering - [DACE],97.45949999999999
KPR Institute of Engineering & Technology - [KPRIET],97.37974999999999
YMCA,97.35349999999998
Ahmedabad University,97.33624999999998
Aravali College of Engineering and Management - [ACEM],97.33049999999999
Vivekanandha College of Technology for Women - [VCTW],97.30124999999998
Rajiv Gandhi University of Knowledge Technologies Basar- [RGUKT],97.27349999999998
Tolani Maritime Institute - [TMI],97.2155
International Institute of Information Technology - [IIIT] Naya Raipur,97.19649999999999
Mukesh Patel School of Technology Management and Engineering - [MPSTME],97.1595
JIMS Engineering Management Technical Campus- [JEMTEC],97.1113
Buddha Institute of Technology- [BIT],97.10874999999999
Rajiv Gandhi College of Engineering - [RGCE],97.1
Anand Engineering College - [AEC],96.8985
Baba Farid College of Engineering and Technology - [BFCET],96.858
MVPS's  Karmaveer Adv. Baburao Ganpatrao Thakare College of Engineering,96.692
Darbhanga College of Engineering - [DCE],96.67850000000001
Siddhartha Institute of Science & Technology - [SISTK],96.66749999999999
Christ University,96.6445
CMR Institute of Technology - [CMRIT],96.61299999999999
St. Aloysius Institute of Technology - [SAIT],96.56099999999998
Teerthanker Mahaveer University - [TMU],96.5345
Cummins College Of Engineering For Women,96.5
Keshav Memorial Institute of Technology - [KMIT],96.45049999999999
IIT Roorkee - Indian Institute of Technology - [IITR],96.27149999999999
Pune Vidyarthi Griha's College of Engineering & S.S. Dhamankar Institute of Management,96.265
Baba Banda Singh Bahadur Engineering College - [BBSBEC],96.198
PBR Visvodaya Institute of Technology and Science [PBR VITS],96.1935
Sri Ramanujar Engineering College - [SREC],96.17925
Jyothishmathi Institute of Technology and Science - [JITS],96.0695
Maharaja Institute of Technology Thandavapura - [MITT],95.96449999999999
Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,95.93399999999998
Aligarh Muslim University - [AMU],95.9205
Regent Education and Research Foundation - [RERF],95.88149999999997
Dhole Patil College of Engineering - [DPCOE],95.85499999999999
SG Balekundri Institute of Technology - [SGBIT],95.81349999999999
Sagar Institute of Research and Technology - [SIRT],95.80937499999999
"Gayatri Vidya Parishad College for Degree and PG Courses, School of Engineering",95.80625
IIT Jodhpur - Indian Institute of Technology - [IITJ],95.79325
Banasthali Vidyapith,95.7695
KCC Institute of Technology and Management - [KCCITM],95.7695
Narsimha Reddy Engineering College - [NRCM],95.73374999999999
Lakshmi Narain College of Technology Excellence - [LNCTE],95.644
Mangalore Institute of Technology and Engineering - [MITE],95.63033333333333
Pandit Deendayal Energy University - [PDEU],95.63
CMR University - [CMRU],95.60900000000001
Meerut Institute of Technology - [MIT],95.6065
Federal Institute of Science and Technology - [FISAT],95.588
DY Patil College of Engineering and Technology - [DYPCET],95.5825
Narsee Monjee Institute of Management Studies -[NMIMS Deemed to be University],95.56224999999999
BVRIT Hyderabad College of Engineering for Women - [BVRITH],95.50649999999999
BP Poddar Institute of Management and Technology,95.5015
Starex University,95.463
Excel Engineering College,95.41149999999999
KIIT School of Biotechnology - [KSBT],95.40074999999999
Jain University - [JU],95.39574999999999
Bannari Amman Institute of Technology - [BIT],95.39529999999999
Laxmi Devi Institute of Engineering and Technology - [LIET],95.37275
IES University,95.33699999999999
Shiv Nadar University - [SNU],95.29416666666667
Gudlavalleru Engineering College - [GEC],95.28499999999998
Institute of Management Studies - [IMS],95.28149999999998
Arifa Institute of Technology - [AIT],95.24249999999999
Rustamji Institute of Technology - [RJIT],95.236
Bengal Institute of Technology - [BIT],95.1995
Saveetha Engineering College - [SEC],95.195
JD College of Engineering and Management,95.1415
SR Institute Of Management and Technology - [SRIMT],95.13624999999999
PSNA College of Engineering and Technology,95.12049999999999
REVA University,95.10499999999998
JSPM Narhe Technical Campus - [JSPM NTC] Narhe,95.05099999999999
Alliance School of Law,95.047
IIMT University - [IIMTU],95.04350000000001
Chandubhai S Patel Institute of Technology - [CSPIT],95.042
Global Academy of Technology - [GAT],95.03875
Indraprastha Institute of Technology and Management - [IITM],95.00516666666665
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET],94.90937499999998
Bennett University,94.88499999999999
Sanjivani College of Engineering Kopargaon,94.84549999999999
